"id", "closed_at", "created_at", "state", "url"
10116, 2017-09-17 14:31:24, 2017-07-06 03:15:59, closed, https://api.github.com/repos/facebook/react/issues/10116
10125, 2017-07-11 11:42:01, 2017-07-08 12:04:44, closed, https://api.github.com/repos/facebook/react/issues/10125
10140, 2017-07-13 22:56:03, 2017-07-11 06:46:11, closed, https://api.github.com/repos/facebook/react/issues/10140
10176, 2018-01-02 15:09:57, 2017-07-13 19:11:54, closed, https://api.github.com/repos/facebook/react/issues/10176
10196, 2017-07-18 15:31:06, 2017-07-16 17:32:05, closed, https://api.github.com/repos/facebook/react/issues/10196
10217, 2018-06-14 15:35:57, 2017-07-19 06:50:46, closed, https://api.github.com/repos/facebook/react/issues/10217
10299, 2017-07-27 09:19:06, 2017-07-27 04:15:09, closed, https://api.github.com/repos/facebook/react/issues/10299
10309, 2017-08-08 18:25:19, 2017-07-27 14:48:14, closed, https://api.github.com/repos/facebook/react/issues/10309
10360, 2017-08-04 00:42:19, 2017-08-02 19:51:33, closed, https://api.github.com/repos/facebook/react/issues/10360
10363, 2017-08-03 01:16:42, 2017-08-02 22:16:13, closed, https://api.github.com/repos/facebook/react/issues/10363
10415, 2017-08-13 23:17:46, 2017-08-09 00:32:12, closed, https://api.github.com/repos/facebook/react/issues/10415
10515, 2018-01-05 21:10:21, 2017-08-23 05:42:46, closed, https://api.github.com/repos/facebook/react/issues/10515
10598, 2017-10-05 19:05:00, 2017-09-02 22:53:32, closed, https://api.github.com/repos/facebook/react/issues/10598
10616, 2017-10-03 15:29:58, 2017-09-06 08:21:34, closed, https://api.github.com/repos/facebook/react/issues/10616
10657, None, 2017-09-09 15:23:08, open, https://api.github.com/repos/facebook/react/issues/10657
10772, 2017-10-10 18:34:38, 2017-09-21 16:05:03, closed, https://api.github.com/repos/facebook/react/issues/10772
10831, 2017-09-28 19:40:27, 2017-09-26 14:12:57, closed, https://api.github.com/repos/facebook/react/issues/10831
10871, None, 2017-09-27 13:18:30, open, https://api.github.com/repos/facebook/react/issues/10871
10888, 2017-10-02 15:57:31, 2017-09-27 18:05:07, closed, https://api.github.com/repos/facebook/react/issues/10888
10906, 2017-10-09 19:30:04, 2017-09-28 07:06:35, closed, https://api.github.com/repos/facebook/react/issues/10906
